HANZI,PINYIN [PLECO],TIPO1,DEF1,TIPO2,DEF2,LESSON,NUMBER,
车,CHĒ,NOM,"car, vehicle",,,14,7,
回来,HUÍLÁI,VER,to come back,,,14,8,
分钟,FĒNZHŌNG,NOM,minute,,,14,9,
后,HÒU,NOM,"after, afterwards, later",,,14,10,
衣服,YĪFU,NOM,clothes,,,14,11,
漂亮,PIÀOLIANG,ADJ,"beautiful, pretty",,,14,12,
啊,A,PT,(a modal particle used at the end of a sentence as a sign of confirmation or defense),,,14,13,
少,SHǍO,ADJ,"little, few",,,14,14,
不少,BÙSHǍO,ADJ,many,,,14,15,
这些,ZHÈXIĒ,PRO,these,,,14,16,
都,DŌU,ADV,"both, all",,,14,17,
认识,RÈNSHI,VER,"to meet, to know",,,15,1,
年,NIÁN,NOM,year,,,15,2,
大学,DÀXUÉ,NOM,"college, university",,,15,3,
饭店,FÀNDIÀN,NOM,"hotel, restaurant",,,15,4,
出租车,CHŪZŪCHĒ,NOM,"taxi, cab",,,15,5,
一起,YÌQǏ,ADV,together,,,15,6,
高兴,GĀOXÌNG,ADJ,"glad, happy",,,15,7,
听,TĪNG,VER,to listen,,,15,8,
飞机,FĒIJĪ,NOM,airplane,,,15,9,
